name,code,abreviatura
AFGHANISTAN,308,
ALBANIA,518,
ALEMANIA,563,
ANDORRA,525,
ANGOLA,140,
ANGUILA,242,
ANTILLAS NEERLANDESAS,247,
ANTIGUA Y BARBUDA,240,ANTIGUA Y BBUDA
ARABIA,SAUDITA,302,
ARGELIA,127,
ARGENTINA,224,
ARMENIA,540,
ARUBA,243,
AUSTRALIA,406,
AUSTRIA,509,
AZERBAIJAN,541,
BAHAMAS,207,
BAHREIN,313,
BANGLADESH,321,
BARBADOS,204,
BELAU,420,
BELARUS,542,
BELGICA,514,
BELICE,236,
BENIN,150,
BERMUDAS,244,
BOLIVIA,221,
BOSNIA Y HERZEGOVINA,543,BOSNIA HEZGVINA
BOTSWANA,113,
BRASIL,220,
BRUNEI,344,
BULGARIA,527,
BURKINA,FASO,161,
BURUNDI,141,
BUTAN,318,
CABO VERDE,129,
CAMBODIA,315,
CAMERUN,149,
CANADA,226,
CHAD,130,
CHILE,997,
CHIPRE,305,
CHINA,336,
CISKEY,162,
COLOMBIA,202,
COMORAS,118,
CONGO,144,
COREA DEL,NORTE,334,
COREA DEL,SUR,333,
COSTA RICA,211,
COSTA DE MARFIL,107,
CROACIA,547,
CUBA,209,
DJIBOUTI,155,
DINAMARCA,507,
DOMINICA,231,
ECUADOR,218,
EGIPTO,124,
EL SALVADOR,213,
EMIRATOS ARABES UNIDOS 341,EMIR. ARAB. UNID.
ERITREA,163,
ESLOVENIA,548,
ESPAÑA,517,
ESTONIA,549,
ESTADOS UNIDOS DE AMÉRICA,225,U.S.A.
ETIOPIA,139,
FIJI,401,
FILIPINAS,335,
FINLANDIA,512,
FRANCIA,505,
GABON,145,
GAMBIA,102,
GEORGIA,550,
GHANA,108,
GIBRALTAR,565,
GRANADA,232,
GRECIA,520,
GROENLANDIA,253,
GUAM,425,
GUATEMALA,215,
GUERNSEY,566,
GUINEA,104,
GUINEA BISSAU,103,
GUINEA ECUATORIAL,147,GUINEA ECUATRL
GUYANA,217,
HAITI,208,
HOLANDA,515,
HONG KONG - REGIÓN ADMINISTRATIVA ESPECIAL DE CHINA,342,HONG KONG
HONDURAS,214,
HUNGRIA,530,
