codigo_arancelario,descripcion,name,sigla
01.01 a 01.06,PIEZAS O ÍTEMES,U,U-10
06.01,PIEZAS O ITMES,U,U-10
06.02.10.00 a 06.02.40.00,PIEZAS O ÍTEMES,U,U-10
22.01 a 22.09,LITRO,l,LT-09
27.16,1000 KILOWATT HORA,1000 kWh,MKWH-03
28.04.10.00 a 28.04.40.00,METRO CÚBICO,m3,MT3-16
37.02.31.00,PIEZAS O ÍTEMES,U,U-10
37.01.10.00,METRO CUADRADO,m2,MT2-15
37.01.30.00,METRO CUADRADO,m2,MT2-15
37.01.99.10 a 37.01.99.90,METRO CUADRADO,m2,MT2-15
37.02.10.00 a 37.02.20.00,METRO CUADRADO,m2,MT2-15
37.02.32.00 a 37.02.44.00,METRO CUADRADO,m2,MT2-15
37.02.51.00 a 37.02.95.00,METRO,m,MT-14
37.06,METRO,m,MT-14
40.11,PIEZAS O ÍTEMES,U,U-10
40.12.11.00 a 40.12.20.90,PIEZAS O ÍTEMES,U,U-10
40.13,PIEZAS O ÍTEMES,U,U-10
42.02.11.00 a 42.02.29.00,PIEZAS O ÍTEMES,U,U-10
44.03,METRO CÚBICO,m3,MT3-16
44.06 a 44.07,METRO CÚBICO,m3,MT3-16
44.12.13.00 a 44.12.14.00,METRO CÚBICO,m3,MT3-16
44.15,PIEZAS O ÍTEMES,U,U-10
57.01 a 57.05,METRO CUADRADO,m2,MT2-15
59.04 a 59.05,METRO CUADRADO,m2,MT2-15
61.01 a 61.10,PIEZAS O ÍTEMES,U,U-10
61.12,PIEZAS O ÍTEMES,U,U-10
61.17.10,PIEZAS O ÍTEMES,U,U-10
62.01 a 63.06,PIEZAS O ÍTEMES,U,U-10
62.07.11.00 a 62.07.29.00,PIEZAS O ÍTEMES,U,U-10
62.10.20.00 a 62.10.30.00,PIEZAS O ÍTEMES,U,U-10
62.11.11.10 a 62.11.20.90,PIEZAS O ÍTEMES,U,U-10
62.14,PIEZAS O ÍTEMES,U,U-10
63.01.10.00,PIEZAS O ÍTEMES,U,U-10
64.01 a 64.05,PAR,2U,2U-17
65.03,PIEZAS O ÍTEMES,U,U-10
65.06.10.00,PIEZAS O ÍTEMES,U,U-10
66.01 a 66.02,PIEZAS O ÍTEMES,U,U-10
69.04.10.00,1000 PZAS O ÍTEMES,1000 U,MU-13
69.07 a 69.08,METRO CUADRADO,m2,MT2-15
69.10,PIEZAS O ÍTEMES,U,U-10
70.03 a 70.05,METRO CUADRADO,m2,MT2-15
70.07.19.00,METRO CUADRADO,m2,MT2-15
70.07.29.00,METRO CUADRADO,m2,MT2-15
71.02,KILATE,KLT,KLT-05
71.03.91.00 a 71.03.99.00,KILATE,KLT,KLT-05
71.05.10.00,KILATE,KLT,KLT-05
73.21.11.10 a 73.21.83.00,PIEZAS O ÍTEMES,U,U-10
82.11.10.00 a 82.11.93.00,PIEZAS O ÍTEMES,U,U-10
82.12.10.10 a 82.12.20.90,PIEZAS O ÍTEMES,U,U-10
84.03.10.00,PIEZAS O ÍTEMES,U,U-10
84.06.10.00 a 84.06.82.00,PIEZAS O ÍTEMES,U,U-10
84.07 a 84.08,PIEZAS O ÍTEMES,U,U-10
84.10.11.10 a 84.10.13.20,PIEZAS O ÍTEMES,U,U-10
84.11.11.00 a 84.11.82.90,PIEZAS O ÍTEMES,U,U-10
84.12.10.00 a 84.12.80.00,PIEZAS O ÍTEMES,U,U-10
84.13.11.00 a 84.13.82.00,PIEZAS O ÍTEMES,U,U-10
84.14.10.00 a 84.14.80.90,PIEZAS O ÍTEMES,U,U-10
84.15.10.00 a 84.15.83.00,PIEZAS O ÍTEMES,U,U-10
84.17.10.00 a 84.17.80.00,PIEZAS O ÍTEMES,U,U-10
84.18.10.11 a 84.18.61.00,PIEZAS O ÍTEMES,U,U-10
84.19.11.00 a 84.19.89.00,PIEZAS O ÍTEMES,U,U-10
84.20.10.00,PIEZAS O ÍTEMES,U,U-10
84.21.11.00 a 84.21.39.90,PIEZAS O ÍTEMES,U,U-10
84.22.11.00 a 84.22.40.00,PIEZAS O ÍTEMES,U,U-10
84.23.10.00 a 84.23.89.00,PIEZAS O ÍTEMES,U,U-10
84.25 a 84.30,PIEZAS O ÍTEMES,U,U-10
84.32.10.00 a 84.32.80.00,PIEZAS O ÍTEMES,U,U-10
84.33.11.00 a 84.33.20.00,PIEZAS O ÍTEMES,U,U-10
84.34.10.00 a 84.34.20.00,PIEZAS O ÍTEMES,U,U-10
84.35.10,PIEZAS O ÍTEMES,U,U-10
84.36.10.00 a 84.36.80.00,PIEZAS O ÍTEMES,U,U-10
84.37.10.00 a 84.37.80.00,PIEZAS O ÍTEMES,U,U-10
